Módulo,Variable,Etiqueta
Antropometría/TA,desc_mun,DESC_MUN
Antropometría/TA,entidad,Entidad
Antropometría/TA,est_sel,Estrato de seleccion
Antropometría/TA,estrato,Estrato urbanidad/ruralidad
Antropometría/TA,fech_nac,Fecha de Nacimiento
Antropometría/TA,fecha_fin,Fecha de Termino
Antropometría/TA,fecha_fin_1,Fecha termino 1
Antropometría/TA,fecha_fin_2,Fecha de Termino 2
Antropometría/TA,fecha_fin_3,Fecha de Termino 3
Antropometría/TA,fecha_fin_4,Fecha de Termino 4
Antropometría/TA,fecha_ini,Fecha de inicio
Antropometría/TA,fecha_ini_1,Fecha de Inicio 1
Antropometría/TA,fecha_ini_2,Fecha de Inicio 2
Antropometría/TA,fecha_ini_3,Fecha de Inicio 3
Antropometría/TA,fecha_ini_4,Fecha de Inicio 4
Antropometría/TA,h0302,Sexo
Antropometría/TA,h0303,Edad
Antropometría/TA,hora_fin,Hora de termino
Antropometría/TA,hora_fin_1,Hora termino 1
Antropometría/TA,hora_fin_2,Hora de Termino 2
Antropometría/TA,hora_fin_3,Hora de Termino 3
Antropometría/TA,hora_fin_4,Hora de Termino 4
Antropometría/TA,hora_ini,Hora de Inicio
Antropometría/TA,hora_ini_1,Hora de Inicio 1
Antropometría/TA,hora_ini_2,Hora de Inicio 2
Antropometría/TA,hora_ini_3,Hora de Inicio 3
Antropometría/TA,hora_ini_4,Hora de Inicio 4
Antropometría/TA,imc,Indice de Masa Corporal
Antropometría/TA,localizado,localizado
Antropometría/TA,meses,Meses edad
Antropometría/TA,municipio,Municipio
Antropometría/TA,nota01,NOTA01
Antropometría/TA,nota02,NOTA02
Antropometría/TA,nota03,NOTA03
Antropometría/TA,nota04,NOTA04
Antropometría/TA,nota05,NOTA05
Antropometría/TA,nota06,NOTA06
Antropometría/TA,ponde_f,Ponderador
Antropometría/TA,reporte_imc,Reporte IMC
Antropometría/TA,resultado_1,Resultado de entrevista 1
Antropometría/TA,resultado_2,Resultado de entrevista 2
Antropometría/TA,resultado_3,Resultado de entrevista 3
Antropometría/TA,resultado_4,Resultado de entrevista 4
Antropometría/TA,t_ponde,Ponderador THA - an30=1
Antropometría/TA,tiempo,Duración de la Entrevista
Antropometría/TA,tiempo1,Duración de la Entrevista 1
Antropometría/TA,tiempo2,Duración de la Entrevista 2
Antropometría/TA,tiempo3,Duración de la Entrevista 3
Antropometría/TA,tiempo4,Duración de la Entrevista 4
Antropometría/TA,upm,Unidad Primaria de Muestreo
Antropometría/TA,x_region,Region
Salud adultos,A0110A,¿Las acciones que tomó para perder peso fueron...
Salud adultos,A0110B,¿Las acciones que tomó para perder peso fueron...
Salud adultos,A0110C,¿Las acciones que tomó para perder peso fueron...
Salud adultos,A0110D,¿Las acciones que tomó para perder peso fueron...
Salud adultos,A0110E,¿Las acciones que tomó para perder peso fueron...
Salud adultos,A0110F,¿Las acciones que tomó para perder peso fueron...
Salud adultos,A0110G,¿Las acciones que tomó para perder peso fueron...
Salud adultos,A0110H,¿Las acciones que tomó para perder peso fueron...
Salud adultos,A0110I,¿Las acciones que tomó para perder peso fueron...
Salud adultos,A0312A,"Actualmente, ¿qué otro tratamiento lleva para controlar su azúcar?"
Salud adultos,A0312B,"Actualmente, ¿qué otro tratamiento lleva para controlar su azúcar?"
Salud adultos,A0312C,"Actualmente, ¿qué otro tratamiento lleva para controlar su azúcar?"
Salud adultos,A0312D,"Actualmente, ¿qué otro tratamiento lleva para controlar su azúcar?"
Salud adultos,A0314AA,3.14a Por qué razón no usa pastillas o insulina para controlar su diabetes?
Salud adultos,A0314AB,3.14a Por qué razón no usa pastillas o insulina para controlar su diabetes?
Salud adultos,A0314AC,3.14a Por qué razón no usa pastillas o insulina para controlar su diabetes?
Salud adultos,A0314AD,3.14a Por qué razón no usa pastillas o insulina para controlar su diabetes?
Salud adultos,A0314AE,3.14a Por qué razón no usa pastillas o insulina para controlar su diabetes?
Salud adultos,A0314AF,3.14a Por qué razón no usa pastillas o insulina para controlar su diabetes?
Salud adultos,A0314AG,3.14a Por qué razón no usa pastillas o insulina para controlar su diabetes?
Salud adultos,A0314AH,3.14a Por qué razón no usa pastillas o insulina para controlar su diabetes?
Salud adultos,A0315A,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315B,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315C,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315D,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315E,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315F,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315G,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315H,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315I,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315J,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315K,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315L,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315M,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315N,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315O,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315P,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315Q,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315R,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315S,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315T,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315U,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0315V,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
Salud adultos,A0405DA,4.5d ¿Por qué razón no toma pastillas para controlar su presión arterial?
Salud adultos,A0405DB,4.5d ¿Por qué razón no toma pastillas para controlar su presión arterial?
Salud adultos,A0405DC,4.5d ¿Por qué razón no toma pastillas para controlar su presión arterial?
Salud adultos,A0405DD,4.5d ¿Por qué razón no toma pastillas para controlar su presión arterial?
Salud adultos,A0405DE,4.5d ¿Por qué razón no toma pastillas para controlar su presión arterial?
Salud adultos,A0405DF,4.5d ¿Por qué razón no toma pastillas para controlar su presión arterial?
Salud adultos,A0405DG,4.5d ¿Por qué razón no toma pastillas para controlar su presión arterial?
Salud adultos,A0405DH,4.5d ¿Por qué razón no toma pastillas para controlar su presión arterial?
Salud adultos,A0408A,"Actualmente, ¿qué otro tratamiento lleva para controlar su presión alta?"
Salud adultos,A0408B,"Actualmente, ¿qué otro tratamiento lleva para controlar su presión alta?"
Salud adultos,A0408C,"Actualmente, ¿qué otro tratamiento lleva para controlar su presión alta?"
Salud adultos,A0408D,"Actualmente, ¿qué otro tratamiento lleva para controlar su presión alta?"
Salud adultos,A0408E,"Actualmente, ¿qué otro tratamiento lleva para controlar su presión alta?"
Salud adultos,A0605A,"Actualmente, ¿qué acciones toma para el control del colesterol?"
Salud adultos,A0605B,"Actualmente, ¿qué acciones toma para el control del colesterol?"
Salud adultos,A0605C,"Actualmente, ¿qué acciones toma para el control del colesterol?"
Salud adultos,A0605D,"Actualmente, ¿qué acciones toma para el control del colesterol?"
Salud adultos,A0607A1,"Actualmente, ¿qué acciones toma para el control de los triglicéridos altos?"
Salud adultos,A0607B,"Actualmente, ¿qué acciones toma para el control de los triglicéridos altos?"
Salud adultos,A0607C,"Actualmente, ¿qué acciones toma para el control de los triglicéridos altos?"
Salud adultos,A0607D,"Actualmente, ¿qué acciones toma para el control de los triglicéridos altos?"
Salud adultos,A0803A,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0803B,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0803C,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0803D,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0803E,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0803F,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0803G,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0803H,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0803I,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0803J,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0803K,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0803L,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0803M,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0803N,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0803O,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0804A,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0804B,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0804C,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0804D,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0804E,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0804F,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0804G,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0804H,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0804I,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0804J,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0804K,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0804L,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0804M,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0804N,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0804O,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0804P,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A0804Q,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
Salud adultos,A1202A,A1202 ¿Qué fue lo que pasó?
Salud adultos,A1202B,A1202 ¿Qué fue lo que pasó?
Salud adultos,A1202C,A1202 ¿Qué fue lo que pasó?
Salud adultos,A1202D,A1202 ¿Qué fue lo que pasó?
Salud adultos,A1202E1,A1202 ¿Qué fue lo que pasó?
Salud adultos,A1202F,A1202 ¿Qué fue lo que pasó?
Salud adultos,A1202G,A1202 ¿Qué fue lo que pasó?
Salud adultos,A1202H,A1202 ¿Qué fue lo que pasó?
Salud adultos,A1202I,A1202 ¿Qué fue lo que pasó?
Salud adultos,A1202J,A1202 ¿Qué fue lo que pasó?
Salud adultos,A1202K,A1202 ¿Qué fue lo que pasó?
Salud adultos,A13A2A,"A13A2  Me podría decir, ¿con qué otro nombre conoce o ha escuchado hablar del fentanilo?, considere cualquier sustancia que la contenga."
Salud adultos,A13A2B,"A13A2  Me podría decir, ¿con qué otro nombre conoce o ha escuchado hablar del fentanilo?, considere cualquier sustancia que la contenga."
Salud adultos,A13A2C,"A13A2  Me podría decir, ¿con qué otro nombre conoce o ha escuchado hablar del fentanilo?, considere cualquier sustancia que la contenga."
Salud adultos,A13A2D,"A13A2  Me podría decir, ¿con qué otro nombre conoce o ha escuchado hablar del fentanilo?, considere cualquier sustancia que la contenga."
Salud adultos,A13A2E1,"A13A2  Me podría decir, ¿con qué otro nombre conoce o ha escuchado hablar del fentanilo?, considere cualquier sustancia que la contenga."
Salud adultos,A13A2F,"A13A2  Me podría decir, ¿con qué otro nombre conoce o ha escuchado hablar del fentanilo?, considere cualquier sustancia que la contenga."
Salud adultos,A13A2G,"A13A2  Me podría decir, ¿con qué otro nombre conoce o ha escuchado hablar del fentanilo?, considere cualquier sustancia que la contenga."
Salud adultos,A13A2H,"A13A2  Me podría decir, ¿con qué otro nombre conoce o ha escuchado hablar del fentanilo?, considere cualquier sustancia que la contenga."
Salud adultos,A13A2I,"A13A2  Me podría decir, ¿con qué otro nombre conoce o ha escuchado hablar del fentanilo?, considere cualquier sustancia que la contenga."
Salud adultos,A13A2J,"A13A2  Me podría decir, ¿con qué otro nombre conoce o ha escuchado hablar del fentanilo?, considere cualquier sustancia que la contenga."
Salud adultos,FOLIO_I,Folio
Salud adultos,a0104,"Le voy a mostrar unas figuras corporales, por favor, dígame qué figura siente que más se parece a usted en este momento"
Salud adultos,a0107,"Durante los últimos 12 meses, ¿ha perdido o ganado peso?"
Salud adultos,a0108,¿Cuántos kilos fueron los que ganó (perdió)?
Salud adultos,a0109,¿Esta pérdida de peso fue intencional?
Salud adultos,a01esp,Las acciones que tomé para perder peso fueron ESPECIFIQUE
Salud adultos,a0202,"2.2 En los últimos tres meses, en un servicio de salud ¿le aplicaron algún cuestionario sobre su estado emocional o salud mental, por ejemplo, el cuestionario sobre salud del paciente (PHQ-9)?"
Salud adultos,a0203,2.3 ¿Cuál fue el resultado del cuestionario?
Salud adultos,a0203e,2.3 ¿Cuál fue el resultado del cuestionario? Otro (especifique)
Salud adultos,a0204,"2.4 ¿Le dieron recomendaciones sobre promoción del autocuidado, por ejemplo, activación física, alimentación saludable, higiene del sueño, manejo de estrés?"
Salud adultos,a0205,2.5 ¿Le hicieron un diagnóstico de depresión mediante valoración clínica (Medicina o psicología)?
Salud adultos,a0206,2.6 ¿Cuál fue el resultado?
Salud adultos,a0206e,2.6 ¿Cuál fue el resultado? Otro (especifique)
Salud adultos,a0207,2.7 ¿Qué tratamiento le dieron?
Salud adultos,a0211,Durante la última semana...¿Sentía como si no pudiera quitarse de encima la tristeza?
Salud adultos,a0212,Durante la última semana...¿le costaba concentrarse en lo que estaba haciendo?
Salud adultos,a0213,Durante la última semana...¿se sintió deprimido/a?
Salud adultos,a0214,Durante la última semana...¿le parecía que todo lo que hacía era un esfuerzo?
Salud adultos,a0215,Durante la última semana...¿no durmió bien?
Salud adultos,a0216,Durante la última semana...¿disfruto de la vida?
Salud adultos,a0217,Durante la última semana...¿se sintió triste?
Salud adultos,a0301,¿Algún médico le ha dicho que tiene diabetes (o alta el azúcar en la sangre)?
Salud adultos,a0301a,3.A ¿Algún médico le ha dicho que tiene/tuvo prediabetes?
Salud adultos,a0302,3.2 ¿Qué edad tenía usted cuando el médico le dijo que tenía diabetes (o alta el azúcar en la sangre)?
Salud adultos,a0303num,"En los últimos 12 meses, ¿cuántas veces y con qué frecuencia acudió al médico para controlar su diabetes (o azúcar alta en la sangre)?"
Salud adultos,a0304a,¿Hace cuánto tiempo fue la última ocasión en la que acudió con un profesional de la salud para tratar su diabetes AÑOS?
Salud adultos,a0304b,"3.4b La última vez que acudió con el profesional de la salud para el cuidado de su diabetes, ¿cuál fue el principal motivo?"
Salud adultos,a0304be,"3.4b La última vez que acudió con el profesional de la salud para el cuidado de su diabetes, ¿cuál fue el principal motivo? Especifique"
Salud adultos,a0304d,¿Hace cuánto tiempo fue la última ocasión en la que acudió con un profesional de la salud para tratar su diabetes?
Salud adultos,a0304m,¿Hace cuánto tiempo fue la última ocasión en la que acudió con un profesional de la salud para tratar su diabetes MESES?
Salud adultos,a0305,"En esa última ocasión, ¿en dónde se atendió?"
Salud adultos,a0305esp,"En esa última ocasión, ¿en dónde se atendió? Especifique"
Salud adultos,a03061a,"En esa última ocasión, ¿cuánto pagó?"
Salud adultos,a03061aa,3.6.1 A ¿Por qué no?
Salud adultos,a03061b,"En los últimos 12 meses, ¿cuántas veces estuvo hospitalizado debido a su diabetes (descontrol de azúcar, problemas en el pie o en la circulación)?"
Salud adultos,a03061bb,3.6.1 B ¿Por qué no?
Salud adultos,a03061c,¿Cuánto pagó la última vez que estuvo hospitalizado(a) debido a su diabetes?
Salud adultos,a03061cc,3.6.1 C ¿Por qué no?
Salud adultos,a03061j,3.6.1 J ¿Por qué no?
Salud adultos,a03061o,3.6.1 O ¿Por qué no?
Salud adultos,a0306a,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona revisó sus niveles de glucosa?"
Salud adultos,a0306b,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le tomó la tensión arterial?"
Salud adultos,a0306c,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona lo(a) pesó?"
Salud adultos,a0306d,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le pidió quitarse el calzado y le revisó los pies?"
Salud adultos,a0306e,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le hizo sugerencias sobre su forma de alimentarse?"
Salud adultos,a0306f,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le hizo sugerencias sobre cómo aumentar su actividad física (caminar, correr, etcétera)?"
Salud adultos,a0306g,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona lo invitó a participar en algún Grupo de ayuda mutua para el control de su diabetes?"
Salud adultos,a0306h,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le solicitó que acudiera a revisión de la vista?"
Salud adultos,a0306i,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le solicitó que acudiera a revisión con un dentista?"
Salud adultos,a0306j,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le solicitó exámenes de laboratorio en muestras de sangre?"
Salud adultos,a0306k,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona revisó sus niveles de colesterol o triglicéridos?"
Salud adultos,a0306l,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le recetó algún medicamento o insulina para la diabetes?"
Salud adultos,a0306m,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le consiguió de manera gratuita los medicamentos recetados?"
Salud adultos,a0306n,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le dio explicaciones sobre los medicamentos recetados?"
Salud adultos,a0306o,"En esa última ocasión, en el lugar en donde lo(a) atendieron, ¿alguna persona le midió la cintura?"
Salud adultos,a0307,¿Actualmente toma pastillas o le aplican insulina para controlar su azúcar?
Salud adultos,a0308a,¿Cuánto tiempo tiene tomando pastillas para controlar su azúcar?  años
Salud adultos,a0308m,¿Cuánto tiempo tiene tomando pastillas para controlar su azúcar? meses
Salud adultos,a0309a,¿Hace cuánto tiempo inició el tratamiento con insulina? Años
Salud adultos,a0309m,¿Hace cuánto tiempo inició el tratamiento con insulina? Meses
Salud adultos,a0310,¿Se aplica insulina todos los días?
Salud adultos,a0310a,"Normalmente, ¿cuánto paga por sus pastillas o tratamiento de insulina para controlar su diabetes en un mes?"
Salud adultos,a0313,En los últimos seis meses ¿Ha suspendido algun(os) de los medicamentos más de una vez a la semana?
Salud adultos,a0313a,3.13a. Por cuánto tiempo ha dejado de tomar el medicamento
Salud adultos,a0314,3.14 ¿Cuál fue la causa principal de haber dejado de tomar sus medicamentos?
Salud adultos,a0316a,¿Debido a la diabetes ha tenido úlceras en piernas o pies?
Salud adultos,a0316b,¿Debido a la diabetes le han amputado alguna parte del cuerpo?
Salud adultos,a0316d,¿Debido a la diabetes ha perdido la vista?
Salud adultos,a0316e,¿Debido a la diabetes le han hecho diálisis?
Salud adultos,a0316f,¿Debido a la diabetes ha sufrido de un infarto al corazón?
Salud adultos,a0316g,¿Debido a la diabetes ha tenido un infarto cerebral?
Salud adultos,a0316h,¿Debido a la diabetes ha tenido pie diabético?
Salud adultos,a0316i,¿Debido a la diabetes sufrió de un coma diabético?
Salud adultos,a0316j,"¿Debido a la diabetes se le ha bajado el azúcar hasta el punto de tener un episodio de aparición súbita de sudoración, confusión o pérdida de conocimiento, que requirió ayuda de una tercera persona para su resolución?"
Salud adultos,a0316k,¿Debido a la diabetes le han dicho que tiene neuropatía diabética?
Salud adultos,a0316l,¿Debido a la diabetes le han dicho que tiene retinopatía diabética?
Salud adultos,a0401,¿Algún médico le ha dicho que tiene la presión alta?
Salud adultos,a0402a,¿Hace cuánto tiempo le dijo su médico que tiene la presión alta? Años
